"category","obs","exp_prob"
"Promoter",1042,0.0343555102601591
"5UTR",18,0.00189974106089185
"3UTR",127,0.0160905225280755
"Exon",304,0.037886089701391
"Intron",2589,0.59626702170966
"Downstream",6,0.02628859885381
"Upstream",28,0.00926618449851481
"Intergenic",670,0.277946331387497
