"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","in_paper","neglog10_padj"
"GO:0070371","ERK1 and ERK2 cascade","84/2815","319/18805",0.263322884012539,1.75907169941591,5.73715728138412,7.99926031820418e-08,7.89133379010142e-06,5.79395045604263e-06,"PRKCZ/CCN1/GBP1/NOTCH2/PTPRC/DSTYK/SLC30A10/DUSP10/ZFP36L2/FSHR/IL1B/GCG/CFLAR/ERBB4/FN1/NEK10/GNAI2/DUSP7/FGFR3/PDGFRA/NPNT/EGF/SPRY1/FBXW7/FGB/FGA/FGG/RAPGEF2/DAB2/F2RL1/PDE8B/SEMA6A/SPRY4/FGF1/HAVCR2/FGFR4/GCNT2/EDN1/RANBP9/VEGFA/CD2AP/PKHD1/CCN2/CNKSR3/EZR/PDGFA/NPSR1/EGFR/CALCR/BRAF/ADRA1A/PTK2B/NRG1/RIPK2/MYC/NOTCH1/NRP1/FFAR4/CAVIN3/APIP/ARRB1/DUSP6/IGF1/SPRY2/NDRG2/STYX/BMP4/ZFP36L1/PDE8A/CX3CL1/SERPINF2/DUSP3/PRKCA/SOX9/ADCYAP1/GAREM1/TNFRSF11A/CEACAM1/FGF21/SRC/PTPN1/CRKL/XBP1/DUSP9",84,TRUE,5.10284958630574
"GO:0048762","mesenchymal cell differentiation","75/2815","275/18805",0.272727272727273,1.82189568868077,5.76083489495618,8.46522651661919e-08,8.22052856262317e-06,6.03565081406977e-06,"PHACTR4/TGFBR3/TGFB2/AGT/ROCK2/OSR1/RTN4/APLF/IL1B/EPB41L5/SLC39A10/NRP2/ERBB4/FN1/TGFBR2/CTNNB1/DAG1/SEMA3F/WNT5A/PHLDB2/USF3/WWTR1/HES1/TAPT1/LEF1/SPRY1/DAB2/SEMA6A/FOXC1/GCNT2/EDN1/VEGFA/CITED2/QKI/SEMA3C/SEMA3A/SHH/NRG1/ZNF703/SNAI2/EXT1/HAS2/PTK2/SEMA4D/OLFM1/NOTCH1/BAMBI/NRP1/BMPR1A/PTEN/PAX2/TCF7L2/WNT11/PHLDB1/LRP6/HMGA2/KITLG/IGF1/CORO1C/TBX3/SPRY2/BMP4/SIX1/ALDH1A2/SMAD3/SOX9/CDH2/SMAD7/HPN/JAG1/OVOL2/FOXA2/ZFP64/BMP7/POFUT2",75,TRUE,5.08510025734431
"GO:0045165","cell fate commitment","79/2815","295/18805",0.267796610169492,1.78895746154078,5.73061820934138,8.99500850262983e-08,8.60061197597606e-06,6.31471447107697e-06,"NFIA/DOCK7/JAK1/LMO4/TBX15/NOTCH2/MCL1/GATAD2B/IL6R/TNFSF18/PROX1/MYT1L/ID2/MTA3/CYP26B1/GLI2/ERBB4/IHH/PPARG/CTNNB1/WNT5A/SOX2/OPA1/HES1/IL6ST/SMAD5/IRF4/EDN1/RUNX2/GCM1/POU3F2/OLIG3/GLI3/BRAF/SHH/MNX1/GATA4/TOX/PRDM14/EXT1/NFIB/GAS1/KLF4/NOTCH1/PTF1A/NRP1/BMPR1A/WNT8B/PAX2/TCF7L2/SOX6/WNT11/TENM4/DSCAML1/CDON/TEAD4/SOX5/TBX3/LATS2/SPRY2/FOXG1/BMP4/SIX1/BCL11B/DLL4/MGA/ONECUT1/NR2F2/ZFPM1/HNF1B/EPOP/TBX2/SOX9/SOCS3/GATA6/BRD4/JAG1/FOXA2/ETS2",79,TRUE,5.06547064546184
"GO:0048736","appendage development","57/2815","190/18805",0.3,2.00408525754885,5.83654663266983,9.36764942231563e-08,8.68954345667039e-06,6.38000946515919e-06,"SKI/ERRFI1/ECE1/NFIA/NOTCH2/PLXNA2/TGFB2/MYCN/OSR1/PKDCC/WDPCP/VPS54/CYP26B1/EN1/LNPK/BMPR2/IHH/KAT2B/CTNNB1/WNT5A/MBNL1/IFT80/FRAS1/LEF1/SLC7A11/BAK1/RUNX2/TBC1D32/GJA1/GLI3/SEMA3C/SHH/LMBR1/CHD7/ASPH/EXT1/NOTCH1/BMPR1A/TAF10/ZBTB16/TULP3/TBX3/FGF9/FREM2/BMP4/SMOC1/ALDH1A2/SALL1/RPGRIP1L/MED1/TBX2/SOX9/BMP7/ZNRF3/KREMEN1/LARGE1/GPC3",57,TRUE,5.06100304051995
"GO:0060173","limb development","57/2815","190/18805",0.3,2.00408525754885,5.83654663266983,9.36764942231563e-08,8.68954345667039e-06,6.38000946515919e-06,"SKI/ERRFI1/ECE1/NFIA/NOTCH2/PLXNA2/TGFB2/MYCN/OSR1/PKDCC/WDPCP/VPS54/CYP26B1/EN1/LNPK/BMPR2/IHH/KAT2B/CTNNB1/WNT5A/MBNL1/IFT80/FRAS1/LEF1/SLC7A11/BAK1/RUNX2/TBC1D32/GJA1/GLI3/SEMA3C/SHH/LMBR1/CHD7/ASPH/EXT1/NOTCH1/BMPR1A/TAF10/ZBTB16/TULP3/TBX3/FGF9/FREM2/BMP4/SMOC1/ALDH1A2/SALL1/RPGRIP1L/MED1/TBX2/SOX9/BMP7/ZNRF3/KREMEN1/LARGE1/GPC3",57,TRUE,5.06100304051995
"GO:0030278","regulation of ossification","43/2815","128/18805",0.3359375,2.24415797069272,5.92607359508872,1.06809550652034e-07,9.63633030584928e-06,7.07515634938504e-06,"CCN1/S1PR1/CSF1/ADCY10/OSR1/SLC8A1/PKDCC/TACR1/ACVR2A/BMPR2/SETD2/WNT5A/AHSG/BMP2K/SGMS2/ANKH/ADGRV1/MAPK14/RUNX2/TENT5A/GJA1/ENPP1/FAM20C/CALCR/PTK2B/SLC20A2/RXRA/NOTCH1/BMPR1A/ZBTB16/ANO6/ACVR1B/ATP2B1/BMP4/SMAD6/SMAD3/NBR1/SOX9/SMAD7/TRPM4/BMP7/KREMEN1/BCOR",43,TRUE,5.01608832204552
"GO:0003279","cardiac septum development","39/2815","111/18805",0.351351351351351,2.34712687821036,5.97253853578136,1.06984198085857e-07,9.63633030584928e-06,7.07515634938504e-06,"LUZP1/CCN1/LMO4/TGFBR3/NOTCH2/PROX1/TGFB2/PAX8/BMPR2/NRP2/TGFBR2/WNT5A/ROBO2/ROBO1/HES1/ANK2/SLIT3/SOX4/CITED2/SEMA3C/GATA4/CHD7/CNTRL/NOTCH1/NRP1/BMPR1A/PARVA/WNT11/TBX3/HECTD1/BMP4/SMAD6/SALL1/ZFPM1/TBX2/GATA6/SMAD7/JAG1/BMP7",39,TRUE,5.01608832204552
"GO:0072009","nephron epithelium development","42/2815","124/18805",0.338709677419355,2.26267690368418,5.91892869334775,1.15228723607861e-07,1.02306645317551e-05,7.5115265690237e-06,"CTNNBIP1/HS2ST1/NOTCH2/AGT/OSR1/POU3F3/PAX8/CTNNB1/WWTR1/HES1/NPNT/ADAMTS16/FGF1/FOXC1/EDN1/VEGFA/CD2AP/AHI1/GLI3/SHH/EXT1/MTSS1/MYC/NOTCH1/PAX2/LGR4/WNT11/YAP1/BMP4/SIX1/SIX4/MYO1E/SALL1/HS3ST3A1/HS3ST3B1/HNF1B/PECAM1/SOX9/FOXJ1/JAG1/ASXL1/GPC3",42,TRUE,4.99009615581853
"GO:0055123","digestive system development","48/2815","151/18805",0.317880794701987,2.12353404773388,5.81605914448938,1.38190566158644e-07,1.20965404038869e-05,8.8814841259855e-06,"WLS/HMGCS2/TGFB2/ID2/PKDCC/WDPCP/EPB41L5/GLI2/CPS1/IHH/CTNNB1/WNT5A/HES1/PDGFRA/IL6ST/AHI1/PDGFA/C1GALT1/GLI3/COBL/EGFR/SLC4A2/SHH/GATA4/EXT1/ASS1/NOTCH1/PTF1A/LGR4/WNT11/YAP1/HIP1R/FGF9/RCBTB2/ALDH1A2/SMAD3/SALL1/TMIGD1/HNF1B/PYY/SOX9/GATA6/INSR/OVOL2/CBFA2T2/SRC/CRKL/XBP1",48,TRUE,4.91733881962861
"GO:0048568","embryonic organ development","110/2815","457/18805",0.240700218818381,1.60794586674233,5.52037694497326,1.53647289247365e-07,1.32627486482274e-05,9.7377339018615e-06,"ECE1/PHACTR4/CCN1/TBX15/NOTCH2/PROX1/TGFB2/ID2/MYCN/OSR1/BIRC6/PKDCC/WDPCP/PAX8/INSIG2/EN1/GLI2/HS6ST1/MYO3B/SP3/HOXD3/IHH/TGFBR2/CTNNB1/SETD2/HYAL1/WNT5A/LRIG1/TBC1D23/IFT57/NECTIN3/TRA2B/HES1/CC2D2A/PDGFRA/LEF1/GRXCR2/SPARC/FOXC1/EDN1/VEGFA/RUNX2/GCM1/MYO6/GJA1/AHI1/CITED2/PDGFA/HOXA3/GLI3/COBL/EGFR/SHH/GATA4/CHD7/TTPA/STK3/PBX3/NOTCH1/BMPR1A/PAX2/TH/TAF10/TEAD1/USH1C/WNT11/YAP1/DSCAML1/NECTIN1/ST14/TULP3/TEAD4/A2M/KRT8/LRIG3/KITLG/TBX3/KDM2B/FGF9/SETDB2/SPRY2/FOXG1/BMP4/SIX1/SIX4/ZFP36L1/ALDH1A2/SMAD3/NR2F2/SALL1/IRX5/ZFPM1/HNF1B/MED1/TBX2/SOX9/GRB2/SOCS3/MIB1/TTC39C/TSHZ1/CEBPA/HPN/EPN1/MKKS/OVOL2/MAFB/BMP7/BCR/TRIOBP",110,TRUE,4.87736646091976
