"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048732","gland development","123/2556","451/18805",0.272727272727273,2.0065087494665,8.58089698896017,6.66305877684364e-15,4.10844204180179e-11,3.09376339627971e-11,"TBX3/CTNNB1/SALL1/SEMA3C/BMP4/NRP1/POU3F2/GLI3/ROBO1/CREB1/GLI2/GATA3/WLS/NR3C1/ERRFI1/HK2/INSR/BCL11B/HNF1B/BTRC/EGFR/TGFB2/WNT11/JARID2/SHH/TGFBR2/FRZB/HES1/EPHA2/HIF1A/CADM1/MAFB/CD2AP/CPS1/RXFP1/GHRH/COBL/HMGCS2/IHH/TGM2/LIPA/CDH1/OTC/DEAF1/XBP1/FOXB1/PRLR/ALDH1A2/BRAF/UPB1/PTF1A/GJA1/ARHGAP35/RTN4/CGA/ONECUT1/FASN/FEM1B/PAX8/MED1/CFLAR/RAP1GAP/SMAD3/SP3/FGL1/TGFBR3/PCSK9/CPB2/SERPINA10/SRC/PCK1/CRIPTO/SOX2/MAN2A1/RREB1/SIX4/SOD2/HPN/HNF1A/ARID5B/LAMA1/TGFA/BTBD7/TFCP2L1/ASXL1/TNFAIP3/BMPR1A/SOX9/EGF/MET/GATA6/BAAT/DAG1/EXT1/NEURL1/ITGA2/MPST/PDGFA/CEACAM1/ASS1/CSF1/PERP/PTPN3/ELF3/SIX1/NOTCH2/RPGRIP1L/CEBPA/VEGFA/NFIB/AREG/WNT5A/CSMD1/FOXA1/UPF2/PROX1/EDN1/CDO1/SNAI2/NRG1/FGF1/PCSK1/ERBB4",123
"GO:0051056","regulation of small GTPase mediated signal transduction","91/2556","303/18805",0.3003300330033,2.20958774281184,8.41863304893681,5.54379469171111e-14,1.70915190345454e-10,1.28703570448093e-10,"NRP1/KITLG/ABCA1/ROBO1/VAV3/SPATA13/DLC1/PICALM/RELN/ARHGAP39/PLEKHG1/PLEKHG3/SEMA4D/DOCK7/MAP4K4/ARHGAP29/PRAG1/TGFB2/RALGAPA2/TIAM2/KANK1/AKAP13/CDON/CDKL5/RASGRF2/STARD13/RALGPS1/ARHGEF28/CHN2/TNS3/CD2AP/ALS2/F2RL1/CYTH1/TGM2/MAPKAP1/ABL2/MIR29B1/RALGAPA1/BCL6/ARHGAP35/RTN4/EPS8/FAM13A/GARNL3/RASGRF1/ARHGAP26/STAMBP/PIK3CB/IGF1/KALRN/ECT2/RAP1GAP/MCF2L/ARHGAP24/DENND3/ARHGEF10L/DNMBP/MIR21/SIPA1L3/SRC/PLXNB1/SQSTM1/ARHGAP21/ARHGEF18/VAV2/CDC42SE2/NET1/RAC1/MET/ARHGAP40/ARHGAP32/SHOC2/STARD8/TRIO/ARHGAP42/DOCK9/FGD4/ARFGEF2/SPRY1/RASA3/CSF1/IQSEC1/NOTCH2/ARHGAP18/BCR/CYTH3/MYO9A/ARHGAP15/RHOU/CGNL1",91
"GO:0007264","small GTPase-mediated signal transduction","124/2556","487/18805",0.254620123203285,1.87329085165797,7.74420053724739,1.07968989130107e-12,2.21912262325414e-09,1.67105688088738e-09,"NRP1/KITLG/ABCA1/ROBO1/AGTR1/VAV3/SPATA13/DOCK4/DLC1/PICALM/RELN/ARHGAP39/PLEKHG1/PLEKHG3/FARP1/SEMA4D/DOCK5/DOCK7/MAP4K4/ARHGAP29/PRAG1/DAB1/TGFB2/RALGAPA2/TIAM2/CHM/KANK1/AKAP13/CDON/CDKL5/RASGRF2/STARD13/RALGPS1/ARHGEF28/CHN2/TNS3/NCKAP1/CD2AP/ALS2/F2RL1/PLD1/CYTH1/TGM2/LIPA/ROCK2/MAPKAP1/ABL2/LRRK2/MIR29B1/RAP2A/RALGAPA1/BCL6/RTKN/ARHGAP35/RTN4/EPS8/FAM13A/GARNL3/BCAR3/RHOB/RASGRF1/RAPGEFL1/ARHGAP26/STAMBP/CELSR1/PIK3CB/RAPGEF2/IGF1/KALRN/ECT2/RAP1GAP/MCF2L/ARHGAP24/DENND3/RAB33B/ARHGEF10L/DNMBP/MIR21/SIPA1L3/SRC/CDC42EP4/PHACTR4/PLXNB1/RAPGEF4/RALGPS2/SQSTM1/ARHGAP21/ARHGEF18/VAV2/CDC42SE2/NET1/RAC1/MET/ARHGAP40/ARHGAP32/SHOC2/CDC42EP1/STARD8/TRIO/ARHGAP42/DOCK9/FGD4/GRB2/ARFGEF2/SPRY1/ELMO1/RASA3/DHCR24/RALB/CSF1/IQSEC1/G3BP2/KSR1/NOTCH2/ARHGAP18/BCR/CYTH3/MYO9A/GARRE1/ARHGAP15/DOCK1/RHOU/CGNL1/HACE1",124
"GO:0001503","ossification","116/2556","458/18805",0.253275109170306,1.86339531609843,7.41911535117124,8.47662519845157e-12,1.30667177434131e-08,9.83957730272892e-09,"CTNNB1/PTGER4/BMP4/GLI3/OSR1/WWOX/GLI2/OSTN/TWIST2/SND1/GSK3B/SPP1/RUNX2/SEMA4D/PTHLH/CCN2/EGFR/GPC3/PRKD1/WNT11/SHH/WWTR1/ZBTB16/CDK6/ANO6/CAT/EPHA2/HIF1A/TENT5A/CLEC3A/GTPBP4/RUNX3/SETD2/AXIN2/AHSG/ENPP1/CRIM1/IHH/BCOR/LGR4/SMOC1/SMAD5/MAPK14/TOB2/MIR29B1/YAP1/ACVR1B/SNX10/ANKH/GJA1/MEN1/CALCR/CHRDL2/CTNNBIP1/FASN/IL6R/ADCY10/SUCO/PTK2B/ATP2B1/IGF1/SMAD3/SP3/FAM20C/PTK2/ILK/MIR21/MAP2K6/SMAD7/SOX2/ADGRV1/SLC34A1/CLIC1/PLXNB1/TAPT1/PKDCC/SGMS2/ACVR2A/KREMEN1/FGFR3/TRPM4/SLC26A2/BMPR1A/SOX9/IARS1/CEBPD/SKI/PPARG/BMP2K/PPP3CA/SMAD6/SLC20A2/VCAN/NBR1/LIMD1/EXT1/RXRA/TOB1/COL5A2/TP53INP2/IL6ST/CSF1/CYP24A1/CCN1/RUNX1/CEBPA/VEGFA/AREG/MIR30B/WNT5A/SLC8A1/MINPP1/SNAI2/PTEN/FZD1/CDH11",116
"GO:0001889","liver development","52/2556","146/18805",0.356164383561644,2.62037215683752,7.79541506805783,1.3583694330262e-11,1.67514118480791e-08,1.26142475138496e-08,"TBX3/ERRFI1/HNF1B/EGFR/JARID2/FRZB/HES1/CADM1/CD2AP/CPS1/COBL/HMGCS2/IHH/LIPA/OTC/XBP1/ALDH1A2/UPB1/RTN4/ONECUT1/MED1/CFLAR/SMAD3/SP3/FGL1/TGFBR3/PCSK9/CPB2/SERPINA10/PCK1/MAN2A1/SOD2/HPN/HNF1A/ARID5B/TGFA/TNFAIP3/SOX9/MET/GATA6/BAAT/ITGA2/MPST/CEACAM1/ASS1/PTPN3/NOTCH2/RPGRIP1L/CEBPA/UPF2/PROX1/FGF1",52
"GO:0042060","wound healing","113/2556","450/18805",0.251111111111111,1.84747435228656,7.21685289357578,2.81413579119537e-11,2.87971312394699e-08,2.16849865813035e-08,"TFPI/TMEFF2/CASK/VAV3/ADAMTS18/PAPSS2/PRKCE/TGFB2/DST/SHH/KANK1/ANO6/HIF1A/MYLK/PRKG1/MYL12A/ODAM/UBASH3B/PPL/F2RL1/SCARB1/PLCG2/MERTK/MAPK14/XBP1/SERPINC1/DGKG/PLAU/YAP1/FGA/FN1/F11/TSPAN8/FGG/ARHGAP35/SERPINA1/IL6R/FGB/SMPD1/MIR200B/PIK3CB/IGF1/NFE2L2/CFLAR/MIA3/SERPIND1/FERMT1/SMAD3/ITGB5/HMOX1/ARHGAP24/ANGPTL1/PTK2/ILK/DSP/F13B/F2/ADIPOR2/CPB2/SERPINA10/SERPINF2/APOH/PROC/FOXA2/SRC/HNF4A/HRG/HGFAC/RREB1/CLIC1/DMTN/CX3CL1/PHLDB2/VAV2/GGCX/TNFAIP3/PPARG/PPP3CA/LCK/ANXA5/METAP1/DAG1/EXT1/EPB41L4B/GNAQ/ITGA2/F5/PRCP/PDGFA/JAML/GATA4/PLPP3/CEACAM1/IL6ST/RASA3/S100A10/PTPRJ/CLDN19/NOTCH2/DTNBP1/CCN1/KNG1/VEGFA/WNT5A/PRKCA/ADRA2C/EDN1/NRG1/FGF1/PTEN/FUT10/LNPK/ANXA1",113
"GO:0061008","hepaticobiliary system development","52/2556","149/18805",0.348993288590604,2.56761298589449,7.61929777362495,3.26921697496414e-11,2.87971312394699e-08,2.16849865813035e-08,"TBX3/ERRFI1/HNF1B/EGFR/JARID2/FRZB/HES1/CADM1/CD2AP/CPS1/COBL/HMGCS2/IHH/LIPA/OTC/XBP1/ALDH1A2/UPB1/RTN4/ONECUT1/MED1/CFLAR/SMAD3/SP3/FGL1/TGFBR3/PCSK9/CPB2/SERPINA10/PCK1/MAN2A1/SOD2/HPN/HNF1A/ARID5B/TGFA/TNFAIP3/SOX9/MET/GATA6/BAAT/ITGA2/MPST/CEACAM1/ASS1/PTPN3/NOTCH2/RPGRIP1L/CEBPA/UPF2/PROX1/FGF1",52
"GO:0007163","establishment or maintenance of cell polarity","68/2556","228/18805",0.298245614035088,2.19425225818851,7.19561520406593,1.17760817532323e-10,9.07641501130381e-08,6.83477587019839e-08,"DLG2/GATA3/FAT1/GSK3B/CDK5RAP2/PLEKHG3/DOCK7/WDPCP/CAP2/DST/WNT11/SHH/MPP7/KANK1/ANK1/PARVA/HES1/PARD3B/ALPK2/WWC1/CYTH1/IGF1R/PARD3/ROCK2/ABL2/CTNNA1/OOEP/GJA1/ARHGAP35/WDR1/FRMD4A/TRAF3IP2/LLGL2/HTT/KIAA1614/PARD6B/GSN/NSFL1C/ANKFN1/NEK3/FERMT1/PTK2/SKA1/ILK/CRB3/SIPA1L3/PKHD1/PHLDB2/SKA3/LAMA1/RAC1/PRKCZ/LMNA/PATJ/MAP4/INSC/ACTR3/MCPH1/SPRY1/AMOTL2/RHOBTB1/RPGRIP1L/DLG3/CYTH3/WNT5A/MYO9A/CYP26B1/RHOU",68
"GO:0072001","renal system development","89/2556","336/18805",0.264880952380952,1.9487818112378,6.95995649744701,1.9755286801864e-10,1.35345664911437e-07,1.01918795418739e-07,"ROBO2/CTNNB1/SALL1/BMP4/NRP1/GLI3/OSR1/GLI2/GATA3/AGTR1/FRAS1/BICC1/HNF1B/GCNT3/WDPCP/C1GALT1/GPC3/TGFB2/WNT11/SHH/WWTR1/LGR5/ZBTB16/HS3ST3B1/HES1/CAT/IFT88/CD2AP/AHI1/SEC61A1/UPK3A/HMGCS2/LGR4/NFIA/SMAD5/LRRK2/YAP1/ALDH1A2/PAX2/AP1B1/TRAF3IP2/CTNNBIP1/PAX8/IL6R/CFLAR/SMAD3/ILK/GLIS2/PCSK9/AGT/RBP4/SMAD7/SLC34A1/PKHD1/DDC/CNTRL/SIX4/EGR1/ARID5B/CC2D2A/PECAM1/ASXL1/SOX9/MTSS1/PPP3CA/SMAD6/EXT1/MPST/MYO1E/PDGFA/SPRY1/HS2ST1/DACT2/ASS1/SIX1/NOTCH2/DTNBP1/RPGRIP1L/WFS1/VEGFA/WNT5A/ADAMTS16/SDC1/PROX1/CYP26B1/EDN1/FGF1/ERBB4/TBC1D32",89
"GO:0001763","morphogenesis of a branching structure","63/2556","208/18805",0.302884615384615,2.22838231310943,7.06538778598308,2.79293062320377e-10,1.72212102226744e-07,1.29680178725809e-07,"TBX3/CTNNB1/SALL1/SEMA3C/BMP4/NRP1/GLI3/GLI2/FZD5/HNF1B/BTRC/GPC3/SHH/TGFBR2/HS3ST3B1/EPHA2/SETD2/IHH/LGR4/TGM2/RERE/LRRK2/YAP1/ST14/PAX2/RTN4/CTNNBIP1/FEM1B/PAX8/MED1/BCL11A/CELSR1/ILK/AGT/SRC/CRIPTO/PKHD1/SIX4/LAMA1/DLL4/BTBD7/SOX9/EGF/MET/DAG1/EXT1/MAP3K13/PDGFA/GRB2/SPRY1/GCM1/CSF1/SIX1/VEGFA/AREG/WNT5A/ADAMTS16/CSMD1/FOXA1/PROX1/EDN1/SNAI2/FGF1",63
