"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060840","artery development","9/302","116/18805",0.0775862068965517,4.83115437314455,5.28777701596476,0.000107041935915478,0.0191945653266619,0.0162765202076263,"SHH/HES1/MYLK/TGFBR2/SMAD7/VEGFA/NRP1/SMAD6/EDN1",9
"GO:0072001","renal system development","16/302","336/18805",0.0476190476190476,2.96515294859666,4.64356814969665,0.000114876751875934,0.0197038602674157,0.0167083898151817,"CD2AP/ALDH1A2/FREM2/SHH/CALB1/HES1/LGR4/GCNT3/SMAD7/EPCAM/SIM1/PDGFA/VEGFA/NRP1/SMAD6/EDN1",16
"GO:1902105","regulation of leukocyte differentiation","16/302","340/18805",0.0470588235294118,2.93026879626023,4.58870470900588,0.000131649860147211,0.020297835917931,0.0172120665858674,"NEDD9/SHH/PRDM16/TGFBR2/IL18/MIR21/SMAD7/SLC4A2/IL1RL2/ZFP36L1/NRARP/RC3H1/CSF1/RUNX1/ZFP36L2/TNFSF18",16
"GO:1902106","negative regulation of leukocyte differentiation","9/302","120/18805",0.075,4.67011589403973,5.15265860511239,0.000138850990349386,0.020297835917931,0.0172120665858674,"SHH/PRDM16/MIR21/SMAD7/SLC4A2/NRARP/RC3H1/RUNX1/TNFSF18",9
"GO:0001654","eye development","18/302","415/18805",0.0433734939759036,2.70078991462539,4.47601335815058,0.000141646340782021,0.020297835917931,0.0172120665858674,"FAT3/ALDH1A2/FZD5/FREM2/SHH/CALB1/HES1/RD3/PTPRM/HCN1/PER2/SMOC1/TGFBR2/SIPA1L3/CYP1B1/PAX4/VEGFA/NRP1",18
"GO:0046636","negative regulation of alpha-beta T cell activation","6/302","50/18805",0.12,7.47218543046358,5.85443431520793,0.000143198644969297,0.020297835917931,0.0172120665858674,"SHH/SMAD7/SLC4A2/RC3H1/RUNX1/TNFSF18",6
"GO:0035767","endothelial cell chemotaxis","5/302","32/18805",0.15625,9.72940811258278,6.3139402138224,0.000145800708894084,0.020297835917931,0.0172120665858674,"SEMA5A/P2RX4/MET/VEGFA/NRP1",5
"GO:0022408","negative regulation of cell-cell adhesion","12/302","209/18805",0.0574162679425837,3.57520833993473,4.78281147771861,0.000149414530999691,0.020297835917931,0.0172120665858674,"PAG1/SHH/MBP/MIR21/SMAD7/EPCAM/SLC4A2/NRARP/RC3H1/VEGFA/RUNX1/TNFSF18",12
"GO:0032946","positive regulation of mononuclear cell proliferation","10/302","150/18805",0.0666666666666667,4.15121412803532,4.95032185157084,0.000158934885586382,0.020297835917931,0.0172120665858674,"SHH/SLC39A10/HES1/TGFBR2/PRLR/IL18/MIR21/BCL2L1/HHLA2/CSF1",10
"GO:0150063","visual system development","18/302","419/18805",0.0429594272076372,2.67500671734973,4.4298340288966,0.000159501372232157,0.020297835917931,0.0172120665858674,"FAT3/ALDH1A2/FZD5/FREM2/SHH/CALB1/HES1/RD3/PTPRM/HCN1/PER2/SMOC1/TGFBR2/SIPA1L3/CYP1B1/PAX4/VEGFA/NRP1",18
"GO:0046634","regulation of alpha-beta T cell activation","9/302","123/18805",0.0731707317073171,4.55621062833145,5.05517117241524,0.000167583242955458,0.0205280056182202,0.0174072448414925,"SHH/TGFBR2/IL18/MIR21/SMAD7/SLC4A2/RC3H1/RUNX1/TNFSF18",9
"GO:0032956","regulation of actin cytoskeleton organization","16/302","348/18805",0.0459770114942529,2.86290629519677,4.4813368973881,0.000171717157262678,0.0205280056182202,0.0174072448414925,"CD2AP/NEDD9/SEMA5A/KIRREL1/TRIOBP/SPTBN1/ARHGEF10L/MIR21/SLC4A2/CDC42EP1/MET/PDGFA/RHOBTB1/NRP1/EDN1/PRKN",16
"GO:0007015","actin filament organization","19/302","463/18805",0.041036717062635,2.55528299457898,4.32896518155307,0.000189562382964722,0.0216506388240719,0.0183592102415851,"MYO5B/CD2AP/NEDD9/SEMA5A/KIRREL1/TRIOBP/SPTBN1/RHOB/ARHGEF10L/GAS2/BCAR1/MIR21/CDC42EP1/MET/ACTN1/RHOBTB1/NRP1/FAM171A1/PRKN",19
"GO:0048880","sensory system development","18/302","426/18805",0.0422535211267606,2.63105120790971,4.35029767546356,0.000195533451608538,0.0216506388240719,0.0183592102415851,"FAT3/ALDH1A2/FZD5/FREM2/SHH/CALB1/HES1/RD3/PTPRM/HCN1/PER2/SMOC1/TGFBR2/SIPA1L3/CYP1B1/PAX4/VEGFA/NRP1",18
"GO:0032944","regulation of mononuclear cell proliferation","13/302","248/18805",0.0524193548387097,3.26405949583422,4.58529529953294,0.000197572369497234,0.0216506388240719,0.0183592102415851,"SHH/SLC39A10/HES1/TGFBR2/PRLR/IL18/MIR21/BCL2L1/SLC4A2/HHLA2/RC3H1/CSF1/TNFSF18",13
"GO:1903707","negative regulation of hemopoiesis","9/302","127/18805",0.0708661417322835,4.41270793137613,4.92995908602399,0.000213452756431361,0.0227586790303167,0.0192988011362408,"SHH/PRDM16/MIR21/SMAD7/SLC4A2/NRARP/RC3H1/RUNX1/TNFSF18",9
"GO:0010721","negative regulation of cell development","14/302","285/18805",0.0491228070175439,3.05878935749971,4.47426158987527,0.000222105552428037,0.0230580632718054,0.0195526716237203,"SHH/SEMA5A/HES1/PRDM16/MIR21/SMAD7/SLC4A2/BCL11A/NRARP/RC3H1/VEGFA/NRP1/RUNX1/TNFSF18",14
"GO:0030217","T cell differentiation","15/302","324/18805",0.0462962962962963,2.88278758891342,4.36735622489867,0.000253444839970725,0.0251826616441727,0.0213542788887148,"FZD5/FZD8/SHH/TGFBR2/IL18/MIR21/SMAD7/SLC4A2/IL1RL2/ZFP36L1/NRARP/RC3H1/RUNX1/ZFP36L2/TNFSF18",15
"GO:0048754","branching morphogenesis of an epithelial tube","10/302","159/18805",0.0628930817610063,3.91623974342955,4.7177667465314,0.000255337507165249,0.0251826616441727,0.0213542788887148,"CSMD1/SHH/LGR4/TGFBR2/MET/NRARP/CSF1/VEGFA/NRP1/EDN1",10
"GO:0045580","regulation of T cell differentiation","11/302","192/18805",0.0572916666666667,3.56744964128035,4.56827119625744,0.000285585675121571,0.0274789143501122,0.0233014448147973,"SHH/TGFBR2/IL18/MIR21/SMAD7/SLC4A2/IL1RL2/NRARP/RC3H1/RUNX1/TNFSF18",11
"GO:0031016","pancreas development","7/302","80/18805",0.0875,5.44846854304636,5.09392002799258,0.000299789663910691,0.0276585660672654,0.0234537850608416,"ALDH1A2/SHH/HES1/NR5A2/PAX4/MET/TCF7L2",7
"GO:0010595","positive regulation of endothelial cell migration","9/302","133/18805",0.0676691729323308,4.21363840063735,4.75154588689567,0.000301474864611511,0.0276585660672654,0.0234537850608416,"SEMA5A/RHOB/BCAR1/MIR21/P2RX4/MET/VEGFA/NRP1/EDN1",9
"GO:0009310","amine catabolic process","4/302","21/18805",0.19047619047619,11.8606117943866,6.36176197987094,0.000314512038276683,0.0281988634318526,0.0239119439627584,"SMOX/MOXD1/MIR21/HNMT",4
"GO:0010720","positive regulation of cell development","18/302","447/18805",0.0402684563758389,2.50744477532335,4.12088037917246,0.000349732308807503,0.0302038834937549,0.0256121517558944,"PTPRZ1/NEDD9/SHH/SEMA5A/HES1/TGFBR2/IL18/MIR21/SMAD7/IL1RL2/BCL11A/ZFP36L1/CSF1/VEGFA/NRP1/RUNX1/RASSF10/TRIM32",18
"GO:0050868","negative regulation of T cell activation","9/302","136/18805",0.0661764705882353,4.12069049474094,4.66624075837818,0.00035564042415757,0.0302038834937549,0.0256121517558944,"PAG1/SHH/MIR21/SMAD7/SLC4A2/NRARP/RC3H1/RUNX1/TNFSF18",9
"GO:0034332","adherens junction organization","6/302","59/18805",0.101694915254237,6.33236053429117,5.2408137188449,0.000359843478886307,0.0302038834937549,0.0256121517558944,"CDH8/PLEKHA7/SMAD7/INAVA/VEGFA/CDH12",6
"GO:0048844","artery morphogenesis","7/302","83/18805",0.0843373493975904,5.25153594510492,4.95925339471029,0.000376128338347219,0.0309130478079121,0.02621350568569,"HES1/MYLK/TGFBR2/SMAD7/VEGFA/NRP1/EDN1",7
"GO:0046632","alpha-beta T cell differentiation","9/302","138/18805",0.0652173913043478,4.06097034264325,4.61072180920484,0.000396028824444827,0.0312873675604895,0.026530919647051,"SHH/TGFBR2/IL18/MIR21/SMAD7/SLC4A2/RC3H1/RUNX1/TNFSF18",9
"GO:0070665","positive regulation of leukocyte proliferation","10/302","168/18805",0.0595238095238095,3.70644118574582,4.50166061904098,0.00039654458251571,0.0312873675604895,0.026530919647051,"SHH/SLC39A10/HES1/TGFBR2/PRLR/IL18/MIR21/BCL2L1/HHLA2/CSF1",10
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","10/302","169/18805",0.0591715976331361,3.68450958109644,4.47857114913308,0.00041562048236505,0.0321494667241201,0.0272619585749459,"CDK5RAP2/STAG2/RAB11A/STAG1/NSFL1C/ANKFN1/MAP4/TACC1/INSC/DCTN6",10
"GO:0051293","establishment of spindle localization","6/302","61/18805",0.0983606557377049,6.12474215611769,5.12169034190465,0.00043171907059732,0.0323886451551488,0.0274647760130913,"CDK5RAP2/NSFL1C/ANKFN1/LLGL2/MAP4/INSC",6
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation","7/302","85/18805",0.0823529411764706,5.1279703934554,4.87304736633633,0.000435132621856245,0.0323886451551488,0.0274647760130913,"TGFBR2/IL18/MIR21/SMAD7/RC3H1/RUNX1/TNFSF18",7
"GO:0045785","positive regulation of cell adhesion","19/302","499/18805",0.0380761523046092,2.37093392082178,3.96531400933931,0.000481259873537791,0.0351587074278997,0.0298137208207232,"RREB1/NEDD9/SHH/HES1/TRIOBP/TGFBR2/LAMB1/IL18/MIR21/SMAD7/HHLA2/IL1RL2/CSF1/VEGFA/NRP1/RUNX1/ZFHX3/TNFSF18/UTRN",19
"GO:0070663","regulation of leukocyte proliferation","13/302","273/18805",0.0476190476190476,2.96515294859666,4.17853508831354,0.000497175907822146,0.0356610719337884,0.0302397135896417,"SHH/SLC39A10/HES1/TGFBR2/PRLR/IL18/MIR21/BCL2L1/SLC4A2/HHLA2/RC3H1/CSF1/TNFSF18",13
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","6/302","63/18805",0.0952380952380952,5.93030589719331,5.00776213324433,0.000514328158226591,0.0362325818607839,0.0307243399782727,"IL18/MIR21/SMAD7/RC3H1/RUNX1/TNFSF18",6
"GO:0071347","cellular response to interleukin-1","7/302","88/18805",0.0795454545454545,4.95315322095123,4.74869615084637,0.000537265691527696,0.0363030715331495,0.0307841134900538,"HES1/KMO/MIR21/IL1R2/IL1RL2/RC3H1/EDN1",7
"GO:2001026","regulation of endothelial cell chemotaxis","4/302","24/18805",0.166666666666667,10.3780353200883,5.8730763526847,0.000537611395796907,0.0363030715331495,0.0307841134900538,"SEMA5A/P2RX4/MET/VEGFA",4
"GO:0060041","retina development in camera-type eye","10/302","175/18805",0.0571428571428571,3.55818353831599,4.34361991030245,0.000546808979478198,0.0363030715331495,0.0307841134900538,"FAT3/CALB1/HES1/RD3/PTPRM/HCN1/PER2/CYP1B1/PAX4/NRP1",10
"GO:0007162","negative regulation of cell adhesion","14/302","312/18805",0.0448717948717949,2.79408643233147,4.08248400990588,0.000552137970085924,0.0363030715331495,0.0307841134900538,"PAG1/SHH/SEMA5A/MBP/MIR21/SMAD7/CYP1B1/EPCAM/SLC4A2/NRARP/RC3H1/VEGFA/RUNX1/TNFSF18",14
"GO:0050921","positive regulation of chemotaxis","9/302","146/18805",0.0616438356164384,3.83845141975869,4.39866846308177,0.000597251818561132,0.0386255479380929,0.0327535164691506,"NEDD9/SEMA5A/P2RX4/MET/CSF1/VEGFA/NRP1/EDN1/TNFSF18",9
"GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation","4/302","25/18805",0.16,9.96291390728477,5.72900173203921,0.000631980236332104,0.0402122908440347,0.0340990355019258,"SMAD7/RC3H1/RUNX1/TNFSF18",4
"GO:0030098","lymphocyte differentiation","17/302","432/18805",0.0393518518518519,2.4503694505764,3.89617089489044,0.000657542728805974,0.0407268354516101,0.0345353566980767,"FZD5/FZD8/SHH/PLCG2/TGFBR2/IL18/MIR21/SMAD7/SLC4A2/IL1RL2/ZFP36L1/NRARP/RC3H1/RUNX1/ZFP36L2/ST3GAL1/TNFSF18",17
"GO:0051653","spindle localization","6/302","66/18805",0.0909090909090909,5.66074653822998,4.84575849927519,0.000660714187301152,0.0407268354516101,0.0345353566980767,"CDK5RAP2/NSFL1C/ANKFN1/LLGL2/MAP4/INSC",6
"GO:0022604","regulation of cell morphogenesis","12/302","247/18805",0.048582995951417,3.02517628763708,4.0931083716253,0.000680919285615945,0.0413265627962293,0.0350439107641696,"RREB1/DNMBP/GAS2/MIR21/CDC42SE2/BCL11A/CDC42EP1/PDZD8/RHOBTB1/VEGFA/FAM171A1/PRKN",12
"GO:0006893","Golgi to plasma membrane transport","6/302","67/18805",0.0895522388059701,5.57625778392804,4.79395312227984,0.000716062827467746,0.0428010280963676,0.036294221143421,"RAB11A/SPTBN1/LYPLAL1/GGA2/RAB3IP/LLGL2",6
"GO:0002053","positive regulation of mesenchymal cell proliferation","4/302","27/18805",0.148148148148148,9.22492028452293,5.46382059139175,0.000854923960353077,0.0495981621116601,0.0420580239319207,"SHH/TGFBR2/SYNE1/PDGFA",4
"GO:0032925","regulation of activin receptor signaling pathway","4/302","27/18805",0.148148148148148,9.22492028452293,5.46382059139175,0.000854923960353077,0.0495981621116601,0.0420580239319207,"ACVR2A/SHH/SMAD7/SMAD6",4
